precocials,V2,altricials,V4
Aechmophorus_clarkii,1090.9,Ara_ararauna,1125
Aechmophorus_occidentalis,1137,Ara_militaris,1134
Aix_galericulata,567,Puffinus_tenuirostris,559
Amazonetta_brasiliensis,500,Pterodroma_neglecta,501
Anas_acuta,944.6,Anodorhynchus_leari,940
Anas_americana,754.61,Ducula_pinon,756
Anas_aucklandica,499.1,Corvus_hawaiiensis,518.8
Anas_bahamensis,490,Pterodroma_macroptera,531.8
Anas_cyanoptera,377.45,Geococcyx_californianus,376
Anas_discors,359.44,Pterodroma_ultima,360
Anas_erythrorhyncha,558.8,Calonectris_diomedea,535
Anas_falcata,645.83,Phaethon_rubricauda,671.9
Anas_flavirostris,434,Ducula_rufigaster,436
Anas_hottentota,276.36,Gallicolumba_tristigmata,275
Anas_laysanensis,843.4,Puffinus_gravis,848.99
Anas_luzonica,832,Fregata_ariel,804.3
Anas_poecilorhyncha,1000,Ara_macao,1015
Anas_smithii,591.46,Puffinus_carneipes,609
Aythya_affinis,819.5,Puffinus_griseus,787
Aythya_collaris,704.6,Procellaria_parkinsoni,702.2
Aythya_valisineria,1202,Ara_chloropterus,1214
Bucephala_albeola,397.5,Pterodroma_arminjoniana,394
Callonetta_leucophrys,362.8,Puffinus_huttoni,364
Coscoroba_coscoroba,4294.8,Macronectes_halli,4206.3
Cygnus_columbianus,6378,Diomedea_exulans,6961.3
Dendrocygna_guttata,800,Puffinus_creatopus,743.99
Malacorhynchus_membranaceus,372.8,Puffinus_pacificus,388
Nettapus_coromandelianus,391.3,Puffinus_bulleri,406.99
Phalaropus_fulicarius,55.6,Cinclus_mexicanus,56.7
Phalaropus_lobatus,36.7,Chelidoptera_tenebrosa,35.9
Pipile_pipile,1816.6,Phalacrocorax_auritus,1806.49
Podiceps_auritus,453,Columba_leucomela,420
Podiceps_major,1646,Sula_dactylatra,1732.1
Podiceps_nigricollis,412.4,Pseudobulweria_rostrata,409
Podilymbus_podiceps,411.9,Steatornis_caripensis,408
Rollandia_rolland,324.3,Rhynchopsitta_pachyrhyncha,324.8
Speculanas_specularis,1496.1,Fregata_magnificens,1490.5
Steganopus_tricolor,59.4,Brotogeris_chiriri,61.6
Tachybaptus_dominicus,132.6,Treron_vernans,132
Tadorna_ferruginea,1235,Sula_leucogaster,1288.8
Actitis_macularius,40.4,Oena_capensis,40.6
Arenaria_interpres,136,Chalcophaps_indica,136.5
Arenaria_melanocephala,126.2,Cissa_chinensis,126.6
Calidris_alba,51.7,Coccyzus_erythropthalmus,50.9
Calidris_bairdii,41,Saltator_albicollis,41.3
Calidris_melanotos,79.7,Gallicolumba_beccarii,78.73
Calidris_pusilla,27.5,Ramphocelus_dimidiatus,28
Charadrius_montanus,95.7,Geophaps_plumifera,94.3
Charadrius_vociferus,96.4,Garrulax_albogularis,97.6
Gallinago_gallinago,112.9,Ptilinopus_iozonus,114
Pluvialis_apricaria,214,Tanygnathus_lucionensis,215
Pluvialis_dominica,151.5,Aratinga_erythrogenys,151
Pluvialis_squatarola,250,Aratinga_mitrata,249
Vanellus_armatus,156,Streptopelia_roseogrisea,155
Vanellus_chilensis,327,Phaethon_lepturus,328
Vanellus_resplendens,214,Ptilinopus_perlatus,210
Acryllium_vulturinum,1330,Sula_variegata,1432.5
Anser_albifrons,2506.4,Phalacrocorax_bougainvillii,2485
Anser_brachyrhynchus,2642,Goura_victoria,2384
Anser_cygnoides,3511.94,Thalassarche_chrysostoma,3499
Anser_indicus,2212.6,Phalacrocorax_penicillatus,2224.24
Arborophila_javanica,272,Poicephalus_gulielmi,274.6
Argusianus_argus,1959.9,Phalacrocorax_pelagicus,1843.95
Bambusicola_fytchii,313.7,Pterodroma_inexpectata,316
Bambusicola_thoracicus,264.8,Pterodroma_alba,259
Branta_canadensis,2811.7,Phalacrocorax_harrisi,3016.62
Coturnix_coromandelica,73.8,Pyrrhura_frontalis,72
Coturnix_delegorguei,76,Ptilinopus_coronulatus,76.6
Amaurornis_flavirostra,86.2,Dicrurus_paradiseus,85.8
Coturnicops_noveboracensis,60.9,Melanotis_caerulescens,61.6
Calidris_mauri,27.8,Ploceus_philippinus,28.2
Calidris_ptilocnemis,81.3,Snowornis_subalaris,81.2
Heteroscelus_incanus,108.24,Aratinga_weddellii,108
Limnodromus_griseus,110.5,Ptilinopus_solomonensis,108.5
Limnodromus_scolopaceus,104.4,Gymnorhinus_cyanocephalus,104.8
Tringa_flavipes,77.5,Pyrrhura_molinae,77.1
Porzana_carolina,74.8,Brotogeris_versicolurus,71.5
