precocials,precocials.mass,altricials,altricials.mass,notes,action,congeners,Passes mass check
Dendrocygna_viduata,747.5,Psittrichas_fulgidus,745,,,,
Glareola_nuchalis,79,Turdus_olivater,80.5,mass suspicious,check for congener in Bjarnason,Glareola_pratincola_FMNH_368875,
Odontophorus_gujanensis,304,Phaethon_rubricauda,315,mass suspicious,check for congener in Bjarnason,Odontophorous_guttatus_UMMZ_210631 Phaethon_lepturus_NHMUK_1876.3.16.3,
Eudromia_elegans,647,Ramphastos_ambiguus,672.5,,,,
Anas_superciliosa,398.5,Corvus_albus,412.5,,,,
Anser_canagicus,3110,Phoebastria_nigripes,3395,,,,
Anseranas_semipalmata,2516.5,Phalacrocorax_brasilianus,2483,Phalacrocorax mass suspicious,check for congener in Bjarnason,Phalacrocorax_albiventer_NHMUK_S_2012.36.1,
Aythya_valisineria,845.5,Probosciger_aterrimus,775,Aytha and Porosciger mass a little low,check for congener in Bjarnason,Aythya_ferina_NMHUK_1851.12.23.15 Probosciger_aterriumus_NHMUK_S2006.15.5,
Chauna_torquata,2620,Pelecanus_occidentalis,3500,Chauna mass a little low,check for congener in Bjarnason,Chauna_chavaria_OUMNH_23790,
Arenaria_interpres,137,Pelecanoides_urinatrix,135.5,,,,
Charadrius_hiaticula,96.5,Streptoprocne_zonaris,96.375,charadius mass high,check for congener in Bjarnason,Charadris_vociferus_FMNH_470173,
Haematopus_palliatus,623.75,Tyto_alba,550,,,,
Jacana_jacana,119.75,Chloroceryle_inda,121,Chloroceryle mass high,check for congener in Bjarnason,Choloroceryle_amazona_UMMZ_209261,
Limosa_lapponica,370.5,Psittacus_erithacus,446,,,,
Pedionomus_torquatus,67.25,Upupa_epops,67.5,,,,
Recurvirostra_americana,296.5,Deroptyus_accipitrinus,245,,,,
Rostratula_benghalensis,145,Leptotila_rufaxilla,149,,,,
Tringa_solitaria,86,Trogon_elegans,87,,,,
Turnix_ocellata,88.25,Tityra_cayana,82.55,,,,
Bonasa_umbellus,630,Puffinus_griseus,705,,,,
Colinus_cristatus,190.75,Picus_canus,194,,,,
Crax_alector,2852.5,Bucorvus_leadbeateri,4000,,,,
Numida_meleagris,1479.75,Morus_serrator,1502.5,,,,
Ortalis_motmot,615,Strix_varia,496.5,,,,
Rollulus_rouloul,256.25,Rupicola_rupicola,242.75,,,,
Gavia_immer,1724,Fregata_magnificens,1250,,,,
Aramus_guarauna,1137.5,Anhinga_anhinga,1085,,,,
Balearica_regulorum,3500,Spheniscus_humboldti,4350,Spheniscus is flightless,,,
Heliornis_fulica,608.5,Columba_livia,487,,,,
Porphyrio_porphyrio,796.5,Treron_calvus,455.5,,,,
Psophia_crepitans,1145,Ptilonorhynchus_violaceus,222.75,,,,
Rallus_longirostris,84,Apaloderma_aequatoriale,73,,,,
Rollandia_rolland,336,Nyctibius_griseus,173.5,,,,
Pterocles_bicinctus,180,Coracias_cyanogaster,171,,,,
Crypturellus_tataupa,221.25,Ptilinopus_magnificus,165,,,,
